Row,Quantity Per PCB,References,Value,Datasheet,Footprint,Description,manf,manf#
1,2,C1101 C1102,100n,https://datasheets.kyocera-avx.com/X7RDielectric.pdf,C_0805_2012Metric,Unpolarized capacitor,KYOCERA AVX,08056C104JAT2A
2,1,D1101,STATUS,https://4donline.ihs.com/images/VipMasterIC/IC/AVGO/AVGO-S-A0004511384/AVGO-S-A0004511384-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,LED_ASMB-KTF0-0A306,"RGB LED, anode/blue/green/red",Broadcom / Avago,ASMB-KTF0-0A306
3,1,IC1101,PCAL6416AHF,https://www.nxp.com/docs/en/data-sheet/PCAL6416A.pdf,HVQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm,"IO expander 16 GPIO, I2C 400kHz, Interrupt, 1.65 - 5.5V, HWQFN-24",NXP Semiconductors,"PCAL6416AHF,128"
4,1,Q1401,NPN,https://assets.nexperia.com/documents/data-sheet/BC817W_SER.pdf,SOT-23,"0.8A Ic, 45V Vce, NPN Transistor, SOT-23",Nexperia,"BC817W,135"
5,1,R1404,10R,,R_0805_2012Metric,Resistor,,
6,1,R1406,100R,https://eu.mouser.com/datasheet/3/40/1/cr.pdf,R_0805_2012Metric,Resistor,Bourns,CR0805-JW-101ELF
7,1,R1104,330R,https://www.mouser.de/datasheet/3/40/1/cr.pdf,R_0805_2012Metric,Resistor,Bourns,CR0805-JW-331ELF
8,1,R1105,470R,https://www.mouser.de/datasheet/3/40/1/cr.pdf,R_0805_2012Metric,Resistor,Bourns,CR0805-JW-471ELF
9,1,R1103,1k3,https://eu.mouser.com/datasheet/3/40/1/cr.pdf,R_0805_2012Metric,Resistor,Bourns,CR0805-JW-132ELF
10,2,R1409 R1410,3k3,https://www.mouser.de/datasheet/2/54/cr-1858361.pdf,R_0805_2012Metric,Resistor,Bourns,CR0805-JW-332ELF
11,5,R1401 R1402 R1403 R1408 R1411,10k,https://www.mouser.de/datasheet/2/54/cr-1858361.pdf,R_0805_2012Metric,Resistor,Bourns,CR0805-JW-103ELF
12,2,R1101 R1405,100k,https://www.mouser.de/datasheet/2/54/cr-1858361.pdf,R_0805_2012Metric,Resistor,Bourns,CR0805-JW-104ELF
13,1,S1101,JS1400,https://configured-product-images.s3.amazonaws.com/2D/specs/JS1400BVQ.pdf,JS1400BVQ,"NAVIGATION, 50mA, 12VDC SPST-NO, 4 Way Directional, Center Select Surface Mount",E-Switch,JS1400
14,1,SW1101,Button 1,https://www.we-online.com/components/products/datasheet/430182095816.pdf,WS-TASV-6x6,MEC 5E single pole normally-open tactile switch,Wurth Elektronik,430182070816
15,1,SW1102,Button 2,https://www.we-online.com/components/products/datasheet/430182095816.pdf,WS-TASV-6x6,MEC 5E single pole normally-open tactile switch,Wurth Elektronik,430182070816
16,1,SW1103,Button 3,https://www.we-online.com/components/products/datasheet/430182095816.pdf,WS-TASV-6x6,MEC 5E single pole normally-open tactile switch,Wurth Elektronik,430182070816
17,1,SW1104,Button 4,https://www.we-online.com/components/products/datasheet/430182095816.pdf,WS-TASV-6x6,MEC 5E single pole normally-open tactile switch,Wurth Elektronik,430182070816
18,3,X1401 X1402 X1403,Touch,~,Amphenol_F32R-1A7x1-11006_1x06-1MP_P0.5mm_Horizontal,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/) Generic connector, single row, 01x18, script generated (kicad-library-utils/schlib/autogen/connector/) Generic connector, single row, 01x14, script generated (kicad-library-utils/schlib/autogen/connector/)",Amphenol Aorora,F32R-1A7H1-11006
